import time: self [us] | cumulative | imported package
import time:      1026 |       1026 |             mimetypes
import time:       491 |        491 |               hmac
import time:       441 |        931 |             secrets
import time:       911 |       4958 |           starlette.responses
import time:       649 |        649 |           starlette.websockets
import time:      1534 |       8473 |         fastapi.dependencies.utils
import time:       752 |        752 |           pydantic.color
import time:       149 |        149 |             pydantic_extra_types
import time:        23 |        172 |           pydantic_extra_types.color
import time:       696 |       1618 |         fastapi.encoders
import time:      1316 |       1316 |         fastapi.sse
import time:       367 |        367 |           starlette._exception_handler
import time:       509 |        509 |           starlette.convertors
import time:       425 |        425 |           starlette.middleware
import time:      1000 |       2300 |         starlette.routing
import time:      1611 |     172488 |       fastapi.routing
import time:       255 |        255 |         fastapi.websockets
import time:       398 |        652 |       fastapi.exception_handlers
import time:       317 |        317 |         fastapi.middleware
import time:       353 |        669 |       fastapi.middleware.asyncexitstack
import time:       446 |        446 |       fastapi.openapi.docs
import time:       571 |        571 |             email.feedparser
import time:       366 |        937 |           email.parser
import time:      1056 |       1992 |         http.client
import time:       759 |        759 |         fastapi.responses
import time:       475 |       3226 |       fastapi.openapi.utils
import time:      1470 |       1470 |             html.entities
import time:       524 |       1994 |           html
import time:       435 |       2428 |         starlette.middleware.errors
import time:       462 |        462 |         starlette.middleware.exceptions
import time:       416 |       3305 |       starlette.applications
import time:       414 |        414 |       starlette.middleware.base
import time:      1281 |     183227 |     fastapi.applications
import time:       338 |        338 |     fastapi.requests
import time:       456 |     184776 |   fastapi
import time:       324 |        324 |   aicbc.analysis
import time:       400 |        400 |         numpy.version
import time:       316 |        316 |         numpy._expired_attrs_2_0
import time:       359 |        359 |             numpy._utils._convertions
import time:       359 |        718 |           numpy._utils
import time:       403 |       1120 |         numpy._globals
import time:        52 |         52 |           numpy._distributor_init_local
import time:       353 |        405 |         numpy._distributor_init
import time:       729 |        729 |                   numpy.exceptions
import time:       491 |        491 |                   numpy._core._exceptions
import time:       287 |        287 |                   numpy._core.printoptions
import time:       284 |        284 |                   numpy.dtypes
import time:      4241 |       6030 |                 numpy._core._multiarray_umath
import time:       346 |        346 |                   numpy._utils._inspect
import time:       716 |       1061 |                 numpy._core.overrides
import time:      1314 |       8405 |               numpy._core.multiarray
import time:       419 |        419 |               numpy._core.umath
import time:       357 |        357 |                 numpy._core._dtype
import time:       284 |        284 |                 numpy._core._string_helpers
import time:       417 |        417 |                 numpy._core._type_aliases
import time:       441 |       1497 |               numpy._core.numerictypes
import time:       367 |        367 |                       numpy._core._methods
import time:       786 |       1152 |                     numpy._core.fromnumeric
import time:       441 |       1592 |                   numpy._core.shape_base
import time:       531 |        531 |                   numpy._core._ufunc_config
import time:       466 |        466 |                   numpy._core._asarray
import time:       752 |        752 |                   numpy._core.arrayprint
import time:       944 |       4283 |                 numpy._core.numeric
import time:       442 |       4724 |               numpy._core.einsumfunc
import time:       524 |        524 |               numpy._core.function_base
import time:       390 |        390 |               numpy._core.getlimits
import time:       283 |        283 |               numpy._core.memmap
import time:       401 |        401 |               numpy._core.records
